Treatment_Name,Treatment_Category,Primary_Indication,Regimen_Detail,Overall_Response_Rate_Pct,Complete_Response_Rate_Pct,Typical_Duration,Eligibility_Criteria,Key_Clinical_Trials,Clinical_Notes
Autologous Stem Cell Transplant,Transplant,Multiple Myeloma,VRd induction → Melphalan conditioning → Auto-SCT,75.0,68.0,6-12 months,"Age <70, adequate organ function","DETERMINATION, STaMINA, IFM 2009",Standard of care for eligible MM; improves PFS by 12+ months
Allogeneic Stem Cell Transplant,Transplant,"AML, ALL, MDS, MF",Myeloablative or reduced-intensity conditioning → Donor SCT,55.0,45.0,6-18 months,"Age <65-70, matched donor, adequate fitness","BMT CTN protocols, EBMT registry studies",Only curative option for many BM cancers; GvHD risk 30-50%
CAR-T Cell Therapy,Immunotherapy,"ALL, MM (relapsed)",T-cell collection → Engineering → Lymphodepletion → Infusion,82.0,50.0,Single infusion + monitoring,Relapsed/refractory disease; adequate T-cells,"ZUMA-3 (ALL), CARTITUDE-1 (MM), KarMMa (MM)",Revolutionary therapy; CRS and ICANS are key toxicities
Lenalidomide + Bortezomib + Dex (VRd),Combination Chemo,Multiple Myeloma,"Lenalidomide 25mg D1-14 + Bortezomib 1.3mg/m² D1,4,8,11 + Dex 40mg weekly",90.0,72.0,8-12 cycles,Newly diagnosed MM,"SWOG S0777, GRIFFIN, MAIA",Gold standard first-line regimen for MM; Dara-VRd emerging
Imatinib / TKI Therapy,Targeted Therapy,CML,"Imatinib 400mg daily or 2nd-gen TKI (Dasatinib 100mg, Nilotinib 300mg BID)",95.0,85.0,Indefinite (TFR trials ongoing),All CML-CP patients,"IRIS, DASISION, ENESTnd, EURO-SKI (TFR)",Transformed CML from fatal to chronic disease; CCyR in 80%+
Azacitidine / Decitabine,Hypomethylating Agent,"MDS, AML (elderly)",Azacitidine 75mg/m² SC D1-7 q28d or Decitabine 20mg/m² IV D1-5 q28d,47.0,25.0,Until progression,"Higher-risk MDS, unfit AML","AZA-001, DACO-16, VIALE-A (Aza+Ven)",Backbone of MDS treatment; Aza+Venetoclax approved for unfit AML
BTK Inhibitors (Ibrutinib/Zanubrutinib),Targeted Therapy,"CLL, WM",Ibrutinib 420mg daily or Zanubrutinib 160mg BID,92.0,80.0,Until progression or fixed-duration with Venetoclax,CLL frontline or relapsed; WM,"RESONATE-2, ELEVATE-TN, ASPEN",Paradigm shift in CLL; covalent BTK inhibitors; AF risk with ibrutinib
Venetoclax-Based Regimens,Targeted Therapy,"CLL, AML",Venetoclax + Obinutuzumab (CLL) or Venetoclax + Azacitidine (AML),88.0,72.0,12 months fixed (CLL) or until progression (AML),CLL (fixed duration); Unfit AML,"CLL14, MURANO, VIALE-A",BCL2 inhibitor; enables fixed-duration CLL treatment; TLS risk
Ruxolitinib,JAK Inhibitor,"Myelofibrosis, PV",Ruxolitinib 15-20mg BID (MF) or 10mg BID (PV),65.0,52.0,Until progression,Intermediate/High-risk MF; HU-resistant PV,"COMFORT-I, COMFORT-II, RESPONSE",First JAK inhibitor approved; reduces spleen size and symptoms
Daratumumab Combinations,Monoclonal Antibody,"Multiple Myeloma, AL Amyloidosis",Daratumumab IV/SC + VRd or VMP or Rd,95.0,78.0,Induction + maintenance,Newly diagnosed and relapsed MM; AL amyloidosis,"MAIA, CASSIOPEIA, ALCYONE, ANDROMEDA",Anti-CD38 antibody; deepens responses; now frontline standard
Bispecific Antibodies,Immunotherapy,"Multiple Myeloma, ALL","Teclistamab (BCMA×CD3), Blinatumomab (CD19×CD3)",63.0,40.0,Until progression,Relapsed/refractory MM (3+ prior lines); R/R ALL,"MajesTEC-1, TOWER, MonumenTAL",Off-the-shelf immunotherapy; CRS risk; step-up dosing required
Cladribine (2-CdA),Purine Analogue,Hairy Cell Leukemia,Cladribine 0.1mg/kg/day IV × 7 days (single course),98.0,95.0,Single course,All HCL patients,"Scripps Clinic studies, NCCN guidelines",Near-curative single-course therapy; CR rate 80-90%
