Cancer_Type,Category,Cell_of_Origin,Primary_Site,Key_Genetic_Markers,Incidence_Per_100K_US,Prevalence_US,Annual_New_Cases_US,Five_Year_Survival_US_Pct,Median_Age_Diagnosis,Key_Symptoms,Standard_Treatment,Clinical_Notes
Multiple Myeloma,Plasma Cell Neoplasm,Plasma cells,Bone marrow,"IgH translocations, del(17p), 1q gain",7.0,176404,34920,59.8,69,"Bone pain, anemia, renal failure, hypercalcemia (CRAB criteria)",Lenalidomide + Bortezomib + Dexamethasone; Autologous SCT,Most common primary bone marrow cancer; incidence rising globally
Acute Myeloid Leukemia (AML),Acute Leukemia,Myeloid progenitor cells,Bone marrow / blood,"FLT3-ITD, NPM1, CEBPA, t(8;21), inv(16)",4.3,20800,11400,31.7,68,"Fatigue, bruising, infections, bleeding, bone pain",7+3 induction (Cytarabine + Daunorubicin); Allogeneic SCT; Targeted therapy,Most common acute leukemia in adults; highly aggressive
Acute Lymphoblastic Leukemia (ALL),Acute Leukemia,Lymphoid progenitor cells,Bone marrow / blood,"BCR-ABL1, ETV6-RUNX1, MLL rearrangements, hyperdiploidy",1.8,6540,1390,71.3,16,"Fatigue, bone pain, lymphadenopathy, CNS symptoms",Multi-agent chemotherapy; CNS prophylaxis; Allogeneic SCT; CAR-T,Most common childhood cancer; 90%+ cure rate in children
Chronic Myeloid Leukemia (CML),Chronic Leukemia,Myeloid stem cells,Bone marrow / blood,"BCR-ABL1 (Philadelphia chromosome), t(9;22)",1.9,9110,1220,73.2,64,"Often asymptomatic; fatigue, splenomegaly, night sweats","Tyrosine kinase inhibitors (Imatinib, Dasatinib, Nilotinib); Allogeneic SCT",Paradigm of targeted therapy; near-normal life expectancy with TKIs
Chronic Lymphocytic Leukemia (CLL),Chronic Leukemia,Mature B lymphocytes,Bone marrow / blood / lymph nodes,"del(13q), del(11q), del(17p), trisomy 12, TP53 mutation",4.9,20160,4410,87.9,70,"Lymphocytosis, lymphadenopathy, fatigue, infections",BTK inhibitors (Ibrutinib); BCL2 inhibitors (Venetoclax); Chemoimmunotherapy,Most common leukemia in Western countries; often indolent course
Myelodysplastic Syndromes (MDS),Myelodysplastic Neoplasm,Hematopoietic stem cells,Bone marrow,"del(5q), SF3B1, TET2, ASXL1, DNMT3A, TP53",4.5,15000,8500,30.0,76,"Cytopenias (anemia, neutropenia, thrombocytopenia), fatigue","Azacitidine, Decitabine; Lenalidomide (del5q); Luspatercept; Allogeneic SCT",Pre-leukemic condition; 30% progress to AML; increasing in elderly
Myeloproliferative Neoplasms — Polycythemia Vera (PV),MPN,Hematopoietic stem cells,Bone marrow,JAK2 V617F (95%+),2.8,6500,1200,77.0,64,"Erythrocytosis, headache, pruritus, splenomegaly, thrombosis",Phlebotomy; Hydroxyurea; Ruxolitinib; Aspirin,Chronic MPN; risk of myelofibrosis and AML transformation
Myeloproliferative Neoplasms — Essential Thrombocythemia (ET),MPN,Megakaryocytes,Bone marrow,"JAK2 V617F (55%), CALR (25%), MPL (5%)",2.5,5500,600,85.0,60,"Thrombocytosis, headache, erythromelalgia, thrombosis/bleeding",Hydroxyurea; Anagrelide; Aspirin; Interferon-alpha,Generally favorable prognosis; near-normal life expectancy
Primary Myelofibrosis (PMF),MPN,Hematopoietic stem cells,Bone marrow,"JAK2 V617F (55%), CALR (30%), MPL (8%); ASXL1, SRSF2",1.5,3500,2200,40.0,68,"Anemia, massive splenomegaly, constitutional symptoms, bone marrow fibrosis",Ruxolitinib; Fedratinib; Allogeneic SCT; Supportive care,Most aggressive MPN; only cure is allogeneic SCT
Waldenström Macroglobulinemia (WM),Lymphoplasmacytic Lymphoma,B lymphocytes / Plasma cells,Bone marrow / lymph nodes,"MYD88 L265P (90%+), CXCR4 mutations",0.7,1500,350,78.0,73,"Hyperviscosity, neuropathy, anemia, lymphadenopathy","BTK inhibitors (Ibrutinib, Zanubrutinib); Rituximab-based regimens",Rare indolent lymphoma with bone marrow involvement
Amyloidosis (AL — Light Chain),Plasma Cell Neoplasm,Plasma cells,Bone marrow → systemic organs,"Immunoglobulin light chain misfolding, t(11;14)",1.2,4500,2800,36.0,63,"Heart failure, nephrotic syndrome, neuropathy, macroglossia",Daratumumab + CyBorD; Autologous SCT; Organ support,Misfolded light chains deposit in organs; early diagnosis critical
Hairy Cell Leukemia (HCL),Chronic B-cell Leukemia,Mature B lymphocytes,Bone marrow / spleen,BRAF V600E (nearly 100%),0.3,1000,80,96.0,58,"Pancytopenia, splenomegaly, recurrent infections",Cladribine (2-CdA); Pentostatin; Vemurafenib (relapsed),Excellent prognosis; single course of cladribine often curative
