"G","model","status","logLik","df","AIC","BIC","SABIC","ICL","min_class_n","min_class_prop","avg_max_posterior","uncertain_lt_0_70","relative_entropy","quality_ok","selected","error_message"
4,"EEE","ok",-15259.5607430646,21,-30561.1214861291,-30696.9230607354,-30630.1927631058,-34119.3524454028,262,0.0551114850652082,0.856191324587727,0.180058897770299,0.740349079667003,TRUE,TRUE,""
3,"EEE","ok",-15304.4567039157,17,-30642.9134078313,-30752.848015846,-30698.8282510982,-32082.6725195216,265,0.0557425326041228,0.944548824878404,0.0649978965082036,0.872690531365675,TRUE,FALSE,""
2,"EEE","ok",-15769.6009261607,13,-31565.2018523214,-31649.2694937444,-31607.9602618784,-32674.9730982153,482,0.101388304585612,0.956461239109442,0.0496424063946151,0.844365008036157,TRUE,FALSE,""
1,"EEE","ok",-16094.0174560158,9,-32206.0349120316,-32264.2355868629,-32235.6368878788,-32264.2355868629,4754,1,1,0,1,FALSE,FALSE,""
4,"VVI","ok",-16198.7327660669,27,-32451.4655321338,-32626.0675566277,-32540.2714596753,-34846.4421894922,689,0.144930584770719,0.90394420826795,0.11442995372318,0.831545883900435,TRUE,FALSE,""
3,"VVI","ok",-17008.6955613763,20,-34057.3911227525,-34186.7259557109,-34123.1732913018,-36209.1586425557,1111,0.23369793857804,0.911947565643084,0.104122843920909,0.806384353725447,TRUE,FALSE,""
4,"EEI","ok",-17225.41281532,18,-34486.8256306401,-34603.2269803026,-34546.0295823344,-37010.8246584804,286,0.060159865376525,0.897404018991043,0.134413125788809,0.817341752694426,TRUE,FALSE,""
3,"EEI","ok",-17423.886574087,14,-34875.773148174,-34966.3075312449,-34921.8206661585,-36841.1215675424,501,0.105384938998738,0.916459515515128,0.0990744636095919,0.820516483122782,TRUE,FALSE,""
2,"VVI","ok",-18254.9133367402,13,-36535.8266734804,-36619.8943149034,-36578.5850830375,-38232.9303108192,1865,0.392301220025242,0.929316647575329,0.0851914177534708,0.755246210340439,TRUE,FALSE,""
2,"EEI","ok",-18510.0753285153,10,-37040.1506570307,-37104.8180735099,-37073.0417413053,-38377.6993571667,1261,0.265250315523769,0.943286874279613,0.069625578460244,0.806859537697511,TRUE,FALSE,""
1,"EEI","ok",-20235.401202781,6,-40482.8024055621,-40521.6028554496,-40502.5370561269,-40521.6028554496,4754,1,1,0,1,FALSE,FALSE,""
1,"VVI","ok",-20235.401202781,6,-40482.8024055621,-40521.6028554496,-40502.5370561269,-40521.6028554496,4754,1,1,0,1,FALSE,FALSE,""
